geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
MALAMPA,province,Malampa,2009,Church of Christ,church_of_christ,462
MALAMPA,province,Malampa,2009,AOG,assemblies_of_god,1305
MALAMPA,province,Malampa,2009,NTM,neil_thomas_ministry,1323
MALAMPA,province,Malampa,2009,Apostolic,apostolic,453
MALAMPA,province,Malampa,2009,Others,other,3450
MALAMPA,province,Malampa,2009,Customary beliefs,customary_beliefs,44
MALAMPA,province,Malampa,2009,No religion,no_religion,37
MALAMPA,province,Malampa,2009,Refuse to answer,refuse_to_answer,5
Akhamb,island,Malampa,2009,Total,total,646
Akhamb,island,Malampa,2009,Anglican,anglican,31
Akhamb,island,Malampa,2009,Presbyterian,presbyterian,554
Akhamb,island,Malampa,2009,Catholic,catholic,0
Akhamb,island,Malampa,2009,SDA,seventh_day_adventist,22
Akhamb,island,Malampa,2009,Church of Christ,church_of_christ,0
Akhamb,island,Malampa,2009,AOG,assemblies_of_god,0
Akhamb,island,Malampa,2009,NTM,neil_thomas_ministry,2
Akhamb,island,Malampa,2009,Apostolic,apostolic,6
Akhamb,island,Malampa,2009,Others,other,24
Akhamb,island,Malampa,2009,Customary beliefs,customary_beliefs,5
Akhamb,island,Malampa,2009,No religion,no_religion,0
Akhamb,island,Malampa,2009,Refuse to answer,refuse_to_answer,2
Ambrym,island,Malampa,2009,Total,total,7275
Ambrym,island,Malampa,2009,Anglican,anglican,190
Ambrym,island,Malampa,2009,Presbyterian,presbyterian,3167
Ambrym,island,Malampa,2009,Catholic,catholic,1415
Ambrym,island,Malampa,2009,SDA,seventh_day_adventist,1503
Ambrym,island,Malampa,2009,Church of Christ,church_of_christ,39
Ambrym,island,Malampa,2009,AOG,assemblies_of_god,115
Ambrym,island,Malampa,2009,NTM,neil_thomas_ministry,370
Ambrym,island,Malampa,2009,Apostolic,apostolic,145
Ambrym,island,Malampa,2009,Others,other,321
Ambrym,island,Malampa,2009,Customary beliefs,customary_beliefs,7
Ambrym,island,Malampa,2009,No religion,no_religion,3
Ambrym,island,Malampa,2009,Refuse to answer,refuse_to_answer,0
Atchin,island,Malampa,2009,Total,total,738
Atchin,island,Malampa,2009,Anglican,anglican,12
Atchin,island,Malampa,2009,Presbyterian,presbyterian,105
