geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
West Malo,area_council,Sanma,2020,Churches of Christ,church_of_christ,108
West Malo,area_council,Sanma,2020,Assemblies of God (AOG),assemblies_of_god,592
West Malo,area_council,Sanma,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,1
West Malo,area_council,Sanma,2020,Customary beliefs,customary_beliefs,0
West Malo,area_council,Sanma,2020,Apostolic,apostolic,17
West Malo,area_council,Sanma,2020,Latter Day Saints (Mormon),latter_day_saints,0
West Malo,area_council,Sanma,2020,Other churches,other,332
West Malo,area_council,Sanma,2020,No Religion/Faith,no_religion,0
West Malo,area_council,Sanma,2020,Refuse to answer,refuse_to_answer,1
West Malo,area_council,Sanma,2020,Not Stated,not_stated,0
East Malo,area_council,Sanma,2020,Total,total,2017
East Malo,area_council,Sanma,2020,Presbyterian,presbyterian,195
East Malo,area_council,Sanma,2020,Seventh Day Adventist (SDA),seventh_day_adventist,856
East Malo,area_council,Sanma,2020,Catholic,catholic,94
East Malo,area_council,Sanma,2020,Anglican,anglican,14
East Malo,area_council,Sanma,2020,Churches of Christ,church_of_christ,393
East Malo,area_council,Sanma,2020,Assemblies of God (AOG),assemblies_of_god,27
East Malo,area_council,Sanma,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,0
East Malo,area_council,Sanma,2020,Customary beliefs,customary_beliefs,1
East Malo,area_council,Sanma,2020,Apostolic,apostolic,276
East Malo,area_council,Sanma,2020,Latter Day Saints (Mormon),latter_day_saints,0
East Malo,area_council,Sanma,2020,Other churches,other,159
East Malo,area_council,Sanma,2020,No Religion/Faith,no_religion,0
East Malo,area_council,Sanma,2020,Refuse to answer,refuse_to_answer,1
East Malo,area_council,Sanma,2020,Not Stated,not_stated,0
PENAMA,province,Penama,2020,Total,total,34123
PENAMA,province,Penama,2020,Presbyterian,presbyterian,199
PENAMA,province,Penama,2020,Seventh Day Adventist (SDA),seventh_day_adventist,2028
PENAMA,province,Penama,2020,Catholic,catholic,7394
PENAMA,province,Penama,2020,Anglican,anglican,15312
PENAMA,province,Penama,2020,Churches of Christ,church_of_christ,5506
PENAMA,province,Penama,2020,Assemblies of God (AOG),assemblies_of_god,298
PENAMA,province,Penama,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,419
PENAMA,province,Penama,2020,Customary beliefs,customary_beliefs,827
PENAMA,province,Penama,2020,Apostolic,apostolic,1038
PENAMA,province,Penama,2020,Latter Day Saints (Mormon),latter_day_saints,110
PENAMA,province,Penama,2020,Other churches,other,938
PENAMA,province,Penama,2020,No Religion/Faith,no_religion,39
PENAMA,province,Penama,2020,Refuse to answer,refuse_to_answer,12
PENAMA,province,Penama,2020,Not Stated,not_stated,2
West Ambae,area_council,Penama,2020,Total,total,3197
West Ambae,area_council,Penama,2020,Presbyterian,presbyterian,5
West Ambae,area_council,Penama,2020,Seventh Day Adventist (SDA),seventh_day_adventist,344
West Ambae,area_council,Penama,2020,Catholic,catholic,36
West Ambae,area_council,Penama,2020,Anglican,anglican,518
West Ambae,area_council,Penama,2020,Churches of Christ,church_of_christ,864
West Ambae,area_council,Penama,2020,Assemblies of God (AOG),assemblies_of_god,207
West Ambae,area_council,Penama,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,15
